Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
Kepler-218 b;Kepler-218;Раскаленный каменистый мир;4.66;1.48;7.92;1174;3.62;0.045;0.656;0.294;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-773 b;Kepler-773;Раскаленный каменистый мир;4.16;1.43;7.84;1185;3.75;0.048;0.659;0.295;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-7197 b;2MASS J19394814+4614317;Раскаленный каменистый мир;3.36;1.47;5.84;1172;1.74;0.027;0.932;0.295;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-270 b;K2-270;Раскаленный каменистый мир;3.20;1.38;6.71;1199;1.54;0.025;0.871;0.295;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1028 b;Kepler-1028;Раскаленный каменистый мир;2.94;1.33;6.88;1215;2.51;0.035;0.825;0.295;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1994 b;Kepler-1994;Раскаленный каменистый мир;0.19;0.51;7.88;1032;4.61;0.053;0.325;0.297;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-821 b;Kepler-821;Раскаленный каменистый мир;2.83;1.31;6.93;1211;1.92;0.029;0.809;0.297;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-273 b;Kepler-273;Раскаленный каменистый мир;3.23;1.50;5.27;1149;2.94;0.038;0.810;0.298;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-381 b;Kepler-381;Раскаленный каменистый мир;1.30;0.99;7.37;1317;5.63;0.066;0.625;0.299;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 213885 c;HD 213885;Раскаленный каменистый мир;3.86;1.45;7.00;1160;4.79;0.057;0.832;0.299;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-154 e;Kepler-154;Раскаленный каменистый мир;2.87;1.50;4.68;1144;3.93;0.048;0.692;0.299;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1027 b;Kepler-1027;Раскаленный каменистый мир;0.86;0.89;6.73;1271;1.91;0.029;0.719;0.299;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-450 d;Kepler-450;Раскаленный каменистый мир;0.78;0.84;7.35;1241;7.51;0.080;0.574;0.300;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-314 b;Kepler-314;Раскаленный каменистый мир;0.81;0.83;7.83;1237;2.46;0.035;0.476;0.300;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 212297394 b;EPIC 212297394;Раскаленный каменистый мир;4.39;1.48;7.46;1141;2.29;0.032;0.748;0.301;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-156 b;K2-156;Раскаленный каменистый мир;1.42;1.10;5.88;1269;0.81;0.015;0.959;0.301;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-268 b;K2-268;Раскаленный каменистый мир;2.87;1.50;4.69;1133;2.15;0.031;0.693;0.301;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1130 Ac;Kepler-1130 A;Раскаленный каменистый мир;0.39;0.64;7.95;1114;3.27;0.042;0.375;0.302;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1947 b;Kepler-1947;Раскаленный каменистый мир;1.37;1.01;7.32;1298;6.96;0.071;0.641;0.303;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1890 Ab;Kepler-1890 A;Раскаленный каменистый мир;0.95;0.87;7.98;1241;4.82;0.058;0.461;0.303;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1901 b;Kepler-1901;Раскаленный каменистый мир;3.90;1.47;6.70;1132;3.48;0.045;0.898;0.304;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1468 c;Kepler-1468;Раскаленный каменистый мир;2.04;1.15;7.38;1240;3.55;0.046;0.674;0.304;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1047 c;Kepler-1047;Раскаленный каменистый мир;1.38;0.99;7.85;1293;3.19;0.044;0.529;0.304;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-4527 b;TOI-4527;Раскаленный каменистый мир;0.68;0.90;5.22;1249;0.40;0.008;0.978;0.304;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1398 c;Kepler-1398;Раскаленный каменистый мир;1.49;1.03;7.53;1280;4.14;0.053;0.606;0.305;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-272 b;Kepler-272;Раскаленный каменистый мир;3.76;1.43;7.08;1139;2.97;0.039;0.810;0.305;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-6255 b;TOI-6255;Раскаленный каменистый мир;1.44;1.08;6.32;1258;0.24;0.005;0.864;0.305;Оригинал;Оригинал
TOI-4527.01;TOI-4527;Раскаленный каменистый мир;1.00;0.91;7.34;1246;0.40;0.008;0.603;0.306;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1565 b;Kepler-1565;Раскаленный каменистый мир;2.17;1.19;7.08;1206;1.54;0.024;0.744;0.308;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 39855 b;HD 39855;Раскаленный каменистый мир;2.99;1.37;6.46;1147;3.25;0.041;0.918;0.308;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1357 b;Kepler-1357;Раскаленный каменистый мир;2.48;1.28;6.53;1173;3.01;0.040;0.882;0.308;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1471 b;Kepler-1471;Раскаленный каменистый мир;3.10;1.41;6.10;1128;3.64;0.046;0.999;0.309;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-975 b;Kepler-975;Раскаленный каменистый мир;3.15;1.48;5.35;1106;1.97;0.029;0.831;0.309;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-223 c;K2-223;Раскаленный каменистый мир;3.45;1.50;5.63;1098;4.56;0.055;0.882;0.310;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-787 b;Kepler-787;Раскаленный каменистый мир;2.13;1.28;5.60;1161;0.93;0.016;0.934;0.311;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-304 b;K2-304;Раскаленный каменистый мир;2.92;1.32;6.96;1143;2.29;0.032;0.807;0.312;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-285 b;Kepler-285;Раскаленный каменистый мир;2.71;1.34;6.20;1136;2.63;0.036;0.963;0.312;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-187 c;K2-187;Раскаленный каменистый мир;3.62;1.40;7.26;1116;2.87;0.038;0.767;0.313;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1756 b;Kepler-1756;Раскаленный каменистый мир;3.45;1.47;5.96;1093;2.36;0.032;0.955;0.313;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-292 b;Kepler-292;Раскаленный каменистый мир;2.76;1.32;6.61;1134;2.58;0.035;0.876;0.315;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-605 Ac;Kepler-605 A;Раскаленный каменистый мир;1.25;0.96;7.80;1230;2.36;0.034;0.529;0.315;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-605 b;Kepler-605;Раскаленный каменистый мир;3.71;1.44;6.85;1093;3.38;0.043;0.860;0.316;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1245 c;Kepler-1245;Раскаленный каменистый мир;3.68;1.44;6.80;1091;2.94;0.038;0.870;0.316;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-605 Ab;Kepler-605 A;Раскаленный каменистый мир;3.31;1.43;6.17;1090;3.38;0.043;0.994;0.317;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Pr0211 b;Pr0211;Раскаленный каменистый мир;1.93;1.12;7.50;1191;2.15;0.032;0.642;0.317;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1019 b;Kepler-1019;Раскаленный каменистый мир;3.48;1.46;6.17;1082;1.41;0.022;0.999;0.317;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-793 b;Kepler-793;Раскаленный каменистый мир;3.28;1.37;7.02;1105;4.24;0.051;0.807;0.318;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-374 c;Kepler-374;Раскаленный каменистый мир;1.79;1.10;7.39;1195;3.28;0.044;0.656;0.318;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-165 b;K2-165;Раскаленный каменистый мир;2.44;1.27;6.49;1135;2.35;0.033;0.888;0.318;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-173 b;Kepler-173;Раскаленный каменистый мир;3.09;1.29;7.93;1129;4.26;0.053;0.603;0.318;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1216 b;Kepler-1216;Раскаленный каменистый мир;3.78;1.39;7.75;1098;4.37;0.052;0.666;0.318;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-208 c;Kepler-208;Раскаленный каменистый мир;3.66;1.39;7.50;1096;7.47;0.079;0.716;0.318;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-150 b;Kepler-150;Раскаленный каменистый мир;2.76;1.25;7.79;1139;3.43;0.043;0.620;0.319;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-707 b;Kepler-707;Раскаленный каменистый мир;2.92;1.33;6.83;1112;2.24;0.031;0.834;0.319;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2016-BLG-1928 b;nan;Раскаленный каменистый мир;0.29;0.72;4.27;1091;4.21;0.050;0.857;0.319;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1542 b;Kepler-1542;Раскаленный каменистый мир;0.61;0.76;7.65;1115;3.95;0.048;0.484;0.319;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 23079 c;HD 23079;Раскаленный каменистый мир;4.45;1.46;7.88;1069;5.75;0.066;0.658;0.320;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1623 b;Kepler-1623;Раскаленный каменистый мир;2.68;1.31;6.58;1113;4.36;0.052;0.880;0.320;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-923 b;Kepler-923;Раскаленный каменистый мир;3.73;1.38;7.82;1092;6.93;0.074;0.650;0.320;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 1461 b;HD 1461;Раскаленный каменистый мир;3.96;1.45;7.15;1071;5.77;0.063;0.803;0.320;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-286 c;Kepler-286;Раскаленный каменистый мир;3.23;1.37;6.93;1092;3.47;0.044;0.826;0.321;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 134606 Ae;HD 134606 A;Раскаленный каменистый мир;2.36;1.21;7.41;1143;4.32;0.052;0.683;0.321;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 45184 b;HD 45184;Раскаленный каменистый мир;4.13;1.49;6.87;1055;5.89;0.064;0.869;0.321;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-403 b;Kepler-403;Раскаленный каменистый мир;2.57;1.25;7.25;1127;7.03;0.075;0.729;0.322;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1967 b;Kepler-1967;Раскаленный каменистый мир;0.56;0.73;7.85;1087;7.28;0.073;0.432;0.322;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
